run_id,mode,algorithm,backend,threads,base_n,query_n,k,nlist,nprobe,p,recall,latency_us,speedup,build_ms,notes
20260524_203900,official,pqfs,serial,8,100000,2000,10,0,0,1500,0.9603,1790.0845,0,371.993,phase1-3: logging + Flat-SIMD MT + PQFastScan MT
20260524_204521,official,pqfs_omp,openmp,8,100000,2000,10,0,0,1500,0.9603,2088.246,0,372.964,phase1-3: logging + Flat-SIMD MT + PQFastScan MT
20260524_204657,official,pqfs_pthread,pthread,8,100000,2000,10,0,0,1500,0.9603,2048.3825,0,377.589,phase1-3: logging + Flat-SIMD MT + PQFastScan MT
20260524_210109,official,pqfs_batch_omp,openmp_query_batch,8,100000,2000,10,0,0,1500,0.9603,237.287,0,388.627,phase1-3b: query-level batch parallel; wall_time_per_query
20260524_210134,official,pqfs_batch_pthread,pthread_query_batch,8,100000,2000,10,0,0,1500,0.9603,242.2845,0,385.865,phase1-3b: query-level batch parallel; wall_time_per_query
20260524_215249,official,pqfs_batch_omp,openmp_query_batch,1,100000,2000,10,0,0,1500,0.9603,1783.2205,0,395.951,phase1-3b: query-level batch parallel; wall_time_per_query
20260524_215310,official,pqfs_batch_omp,openmp_query_batch,2,100000,2000,10,0,0,1500,0.9603,876.8025,0,380.523,phase1-3b: query-level batch parallel; wall_time_per_query
20260524_215326,official,pqfs_batch_omp,openmp_query_batch,4,100000,2000,10,0,0,1500,0.9603,446.6125,0,403.976,phase1-3b: query-level batch parallel; wall_time_per_query
20260524_215342,official,pqfs_batch_omp,openmp_query_batch,8,100000,2000,10,0,0,1500,0.9603,310.5875,0,379.936,phase1-3b: query-level batch parallel; wall_time_per_query
20260524_215358,official,pqfs_batch_pthread,pthread_query_batch,1,100000,2000,10,0,0,1500,0.9603,1773.1185,0,385.942,phase1-3b: query-level batch parallel; wall_time_per_query
