algorithm,backend,threads,nlist,nprobe_or_ef,p,recall,latency_us,build_ms
hnsw_batch_omp,openmp_query_batch,8,0,80,100,0.98515,50.166,518.791
hnsw_batch_pthread,pthread_query_batch,8,0,80,100,0.98515,82.138,521.075
hnsw,serial,1,0,40,100,0.95645,214.235,45289.394
ivfpq_batch_omp,openmp_query_batch,8,128,32,1500,0.96090,270.385,1291.097
ivfpq_batch_pthread,pthread_query_batch,8,128,32,1500,0.96090,302.693,1286.384
pqfs_batch_omp,openmp_query_batch,8,0,0,1500,0.96030,310.587,379.936
pqfs_batch_pthread,pthread_query_batch,8,0,0,1500,0.96030,329.437,403.522
ivfpq_omp,openmp,8,128,32,1500,0.96090,585.651,1295.908
ivf_batch_omp,openmp_query_batch,8,128,32,1500,0.99520,748.236,893.309
flat_batch_omp,openmp_query_batch,8,0,0,1500,0.99995,888.913,389.045
ivf_omp,openmp,8,128,32,1500,0.99520,909.773,895.058
ivf_batch_pthread,pthread_query_batch,8,128,32,1500,0.99520,924.417,889.368
ivf,serial,1,128,8,1500,0.93785,966.636,894.517
flat_omp,openmp,8,0,0,1500,0.99995,1064.753,390.372
ivfpq_pthread,pthread,4,128,32,1500,0.96090,1102.863,1267.019
flat_batch_pthread,pthread_query_batch,8,0,0,1500,0.99995,1199.387,388.845
ivfpq,serial,1,128,32,1500,0.96090,1585.711,1288.258
pqfs,serial,8,0,0,1500,0.96030,1790.084,371.993
ivf_pthread,pthread,8,128,32,1500,0.99520,1985.937,883.526
flat_pthread,pthread,4,0,0,1500,0.99995,2027.384,383.762
pqfs_pthread,pthread,8,0,0,1500,0.96030,2048.383,377.589
pqfs_omp,openmp,8,0,0,1500,0.96030,2088.246,372.964
flat,serial,1,0,0,1500,0.99995,7609.642,388.159
