algorithm,backend,threads,nlist,nprobe_or_ef,p,recall,latency_us,speedup_vs_flat
flat,serial,1,0,0,1500,0.99995,7609.642,1.00
flat_batch_omp,openmp_query_batch,1,0,0,1500,0.99995,6505.355,1.17
flat_batch_omp,openmp_query_batch,2,0,0,1500,0.99995,4415.441,1.72
flat_batch_omp,openmp_query_batch,4,0,0,1500,0.99995,1844.569,4.13
flat_batch_omp,openmp_query_batch,8,0,0,1500,0.99995,888.913,8.56
flat_batch_pthread,pthread_query_batch,1,0,0,1500,0.99995,6717.053,1.13
flat_batch_pthread,pthread_query_batch,2,0,0,1500,0.99995,3500.392,2.17
flat_batch_pthread,pthread_query_batch,4,0,0,1500,0.99995,2448.061,3.11
flat_batch_pthread,pthread_query_batch,8,0,0,1500,0.99995,1199.387,6.34
flat_omp,openmp,1,0,0,1500,0.99995,6436.443,1.18
flat_omp,openmp,2,0,0,1500,0.99995,3774.357,2.02
flat_omp,openmp,4,0,0,1500,0.99995,2074.501,3.67
flat_omp,openmp,8,0,0,1500,0.99995,1064.753,7.15
flat_pthread,pthread,1,0,0,1500,0.99995,5768.487,1.32
flat_pthread,pthread,2,0,0,1500,0.99995,3517.225,2.16
flat_pthread,pthread,4,0,0,1500,0.99995,2027.384,3.75
flat_pthread,pthread,8,0,0,1500,0.99995,2186.148,3.48
