algorithm,backend,threads,nlist,nprobe_or_ef,p,recall,latency_us,speedup_vs_ivf
ivf,serial,1,128,32,1500,0.99520,3597.729,1.00
ivf_batch_omp,openmp_query_batch,1,128,32,1500,0.99520,3343.972,1.08
ivf_batch_omp,openmp_query_batch,2,128,32,1500,0.99520,3048.810,1.18
ivf_batch_omp,openmp_query_batch,4,128,32,1500,0.99520,1408.763,2.55
ivf_batch_omp,openmp_query_batch,8,128,32,1500,0.99520,748.236,4.81
ivf_batch_pthread,pthread_query_batch,1,128,32,1500,0.99520,3413.066,1.05
ivf_batch_pthread,pthread_query_batch,2,128,32,1500,0.99520,3280.259,1.10
ivf_batch_pthread,pthread_query_batch,4,128,32,1500,0.99520,1705.749,2.11
ivf_batch_pthread,pthread_query_batch,8,128,32,1500,0.99520,924.417,3.89
ivf_omp,openmp,1,128,32,1500,0.99520,3208.391,1.12
ivf_omp,openmp,2,128,32,1500,0.99520,2641.338,1.36
ivf_omp,openmp,4,128,32,1500,0.99520,1176.218,3.06
ivf_omp,openmp,8,128,32,1500,0.99520,909.773,3.95
ivf_pthread,pthread,1,128,32,1500,0.99520,5654.609,0.64
ivf_pthread,pthread,2,128,32,1500,0.99520,3255.405,1.11
ivf_pthread,pthread,4,128,32,1500,0.99520,2296.055,1.57
ivf_pthread,pthread,8,128,32,1500,0.99520,1985.937,1.81
