algorithm,backend,threads,nlist,nprobe_or_ef,p,recall,latency_us,speedup_vs_ivfpq
ivfpq,serial,1,128,32,1500,0.96090,1585.711,1.00
ivfpq_batch_omp,openmp_query_batch,1,128,32,1500,0.96090,1832.262,0.87
ivfpq_batch_omp,openmp_query_batch,2,128,32,1500,0.96090,905.064,1.75
ivfpq_batch_omp,openmp_query_batch,4,128,32,1500,0.96090,492.715,3.22
ivfpq_batch_omp,openmp_query_batch,8,128,32,1500,0.96090,270.385,5.86
ivfpq_batch_pthread,pthread_query_batch,1,128,32,1500,0.96090,1740.555,0.91
ivfpq_batch_pthread,pthread_query_batch,2,128,32,1500,0.96090,892.330,1.78
ivfpq_batch_pthread,pthread_query_batch,4,128,32,1500,0.96090,532.094,2.98
ivfpq_batch_pthread,pthread_query_batch,8,128,32,1500,0.96090,302.693,5.24
ivfpq_omp,openmp,1,128,32,1500,0.96090,2029.690,0.78
ivfpq_omp,openmp,2,128,32,1500,0.96090,1098.073,1.44
ivfpq_omp,openmp,4,128,32,1500,0.96090,782.345,2.03
ivfpq_omp,openmp,8,128,32,1500,0.96090,585.651,2.71
ivfpq_pthread,pthread,1,128,32,1500,0.96090,2144.774,0.74
ivfpq_pthread,pthread,2,128,32,1500,0.96090,1492.082,1.06
ivfpq_pthread,pthread,4,128,32,1500,0.96090,1102.863,1.44
ivfpq_pthread,pthread,8,128,32,1500,0.96090,1430.744,1.11
